index,district,ward,type_of_housing,legal_paper,price
20343,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,93.8
43437,Đống Đa,Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,165.52
42363,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,66.67
22363,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,74.29
73997,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,47.58
48936,Hai Bà Trưng,Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,133.33
59713,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,147.5
72145,Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,69.79
28571,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,77.78
4272,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,70.0
29209,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,100.0
41946,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,48.0
80212,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,67.86
34938,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,83.33
20375,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,100.0
75278,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,2.0
21153,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,99.33
26351,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,75.0
60079,Ba Đình,Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,187.5
14788,Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,103.13
3338,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,31.25
45362,Tây Hồ,Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,186.81
56300,Huyện Thanh Trì,Thị trấn Văn Điển,Nhà biệt thự,Đã có sổ,104.55
29346,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,55.0
52676,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,169.05
31462,Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,278.57
32011,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,102.94
38407,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,105.41
20752,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,104.0
1411,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,153.23
1959,Hai Bà Trưng,Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,79.17
36698,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,123.96
24659,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,109.09
2340,Ba Đình,Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,33.33
78526,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,131.43
58432,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,69.7
27665,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,71.43
42026,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,50.0
34755,Tây Hồ,Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,412.5
21187,Hoàng Mai,Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,46.3
76779,Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,133.33
14962,Thanh Xuân,Thượng Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,166.67
20292,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,87.27
38813,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,143.56
5190,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,83.43
5779,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,154.76
47593,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,81.94
55891,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,144.0
62694,Hà Đông,Văn Quán,Nhà phố liền kề,Đã có sổ,85.0
13609,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,124.56
81162,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,76.74
8206,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,91.11
