index,district,ward,type_of_housing,legal_paper,price
517,Đống Đa,Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,104.0
12220,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,79.69
10479,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,94.0
1187,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,142.22
30898,Thanh Xuân,Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,148.89
8908,Hà Đông,Dương Nội,Nhà biệt thự,Giấy tờ khác,222.22
9721,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,48.57
63896,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,74.4
65949,Hai Bà Trưng,Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,91.84
40865,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,50.0
68206,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,77.78
44883,Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,122.5
17786,Tây Hồ,Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,90.91
44311,Huyện Sóc Sơn,Xã Đông Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,29.2
14914,Hai Bà Trưng,Đồng Tâm,"Nhà mặt phố, mặt tiền",Đã có sổ,59.67
44773,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,50.0
13042,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,100.0
3305,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,46.88
22170,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,68.72
35649,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,142.31
82029,Hà Đông,Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,27.27
57334,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,78.33
45917,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,74.29
75932,Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,85.83
28144,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,85.71
30811,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,63.64
80061,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,106.33
22965,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,72.73
81204,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,108.57
52428,Ba Đình,Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,102.86
7525,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,72.0
36833,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,97.0
41801,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,86.67
72341,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,72.92
63115,Nam Từ Liêm,Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,105.0
39654,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,82.0
19498,Đống Đa,Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,81.67
53969,Hai Bà Trưng,Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,100.0
24028,Hà Đông,Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,166.23
42183,Long Biên,Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,50.89
80722,Bắc Từ Liêm,Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,83.0
52998,Đống Đa,Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,90.0
34144,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,100.0
20282,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,77.14
68057,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,63.41
21854,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,82.29
64485,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,77.14
75229,Ba Đình,Ngọc Hà,"Nhà mặt phố, mặt tiền",Đã có sổ,233.87
81001,Long Biên,Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,68.42
47958,Tây Hồ,Tứ Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,307.69
20073,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,61.54
54018,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,95.0
49137,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,104.74
19670,Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,90.0
39724,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,61.7
39900,Đống Đa,Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,128.57
75281,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,95.45
39495,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,86.67
43468,Tây Hồ,Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,90.48
29137,Nam Từ Liêm,Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,87.94
54531,Đống Đa,Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,107.14
64411,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,80.56
79315,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,91.67
58950,Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,91.67
25176,Hai Bà Trưng,Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,100.0
60661,Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,155.56
29208,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,117.86
22849,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,79.49
43373,Hai Bà Trưng,Đồng Tâm,"Nhà mặt phố, mặt tiền",Đã có sổ,203.49
44042,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,74.29
80468,Hai Bà Trưng,Quỳnh Lôi,Nhà phố liền kề,Đã có sổ,114.1
10374,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,80.0
59244,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,56.41
59958,Đống Đa,Nam Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,174.0
30009,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,78.38
82048,Huyện Thanh Trì,Xã Tứ Hiệp,"Nhà ngõ, hẻm",Đã có sổ,67.14
58876,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,67.5
53715,Hai Bà Trưng,Cầu Dền,"Nhà mặt phố, mặt tiền",Đã có sổ,130.0
11143,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,96.0
58180,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,85.14
81013,Ba Đình,Đội Cấn,"Nhà mặt phố, mặt tiền",Đã có sổ,93.33
22089,Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,75.0
18205,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,61.43
33182,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,108.33
41655,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,65.0
34392,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,67.5
80621,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,95.31
49325,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,84.62
35305,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,70.0
43776,Thanh Xuân,Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,106.9
54842,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,93.33
58373,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,180.0
81169,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,83.33
6423,Cầu Giấy,Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,90.0
76478,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,99.35
20551,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,96.0
63698,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,61.25
21961,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,141.67
17149,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,95.0
42407,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,68.33
71392,Cầu Giấy,Yên Hoà,Nhà biệt thự,Đã có sổ,205.26
28403,Đống Đa,Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,291.67
58262,Đống Đa,Ngã Tư Sở,"Nhà mặt phố, mặt tiền",Đã có sổ,118.33
37986,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,94.57
57498,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,67.27
75392,Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,83.33
42936,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,93.75
68050,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,102.0
80516,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,125.0
72150,Hoàng Mai,Lĩnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,52.38
44750,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,112.86
56254,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,65.09
1673,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,75.68
57537,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,64.29
28210,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,105.71
42577,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,112.0
14417,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,92.55
15348,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,84.09
40000,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,86.25
34179,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,76.67
675,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,140.0
76080,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,112.73
33433,Thanh Xuân,Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,73.33
19103,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,70.59
1893,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,71.05
31279,Tây Hồ,Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,158.33
7808,Long Biên,Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,53.0
54213,Đống Đa,Nam Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,166.67
75920,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,85.87
64683,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,83.33
25538,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,138.89
27700,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,76.25
14430,Tây Hồ,Tứ Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,70.0
55653,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,98.48
39446,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,104.0
4841,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,75.0
69329,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,100.0
78134,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,93.55
57762,Ba Đình,Liễu Giai,"Nhà mặt phố, mặt tiền",Đã có sổ,71.21
968,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,106.67
61493,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,71.67
30899,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,77.17
57920,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,80.0
47251,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,163.64
71297,Đống Đa,Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,78.0
43377,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,87.14
7926,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,50.0
77669,Cầu Giấy,Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,88.1
58483,Đống Đa,Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,121.43
68282,Hai Bà Trưng,Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,100.0
38520,Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,345.95
80766,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,166.67
70537,Huyện Hoài Đức,Thị trấn Trạm Trôi,Nhà biệt thự,Đã có sổ,30.0
62369,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,61.46
8806,Cầu Giấy,Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,121.74
78609,Cầu Giấy,Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,302.44
44907,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,44.44
34240,Hai Bà Trưng,Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,266.67
51888,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,75.51
26285,Hoàng Mai,Vĩnh Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,100.0
51920,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,100.0
21706,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,66.67
36961,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,68.75
82224,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,92.11
59646,Cầu Giấy,Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,127.93
82159,Đống Đa,Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,362.5
46431,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,66.67
13170,Hai Bà Trưng,Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,164.18
7034,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,74.29
20051,Thanh Xuân,Phương Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,125.68
42939,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,71.54
58658,Hoàng Mai,Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,152.63
57989,Bắc Từ Liêm,Phúc Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,83.75
36714,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,137.5
3464,Tây Hồ,Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,120.59
65043,Bắc Từ Liêm,Phúc Diễn,"Nhà ngõ, hẻm",Đã có sổ,78.57
59909,Hai Bà Trưng,Phạm Đình Hổ,"Nhà ngõ, hẻm",Đã có sổ,88.89
37454,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,81.4
64453,Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,67.5
34066,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,95.24
51659,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,100.0
17250,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,104.41
75433,Đống Đa,Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,75.76
41125,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,68.18
71115,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,84.44
60187,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,69.35
9309,Hà Đông,Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,107.5
5512,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,95.0
43948,Long Biên,Long Biên,"Nhà mặt phố, mặt tiền",Đã có sổ,76.51
19635,Tây Hồ,Quảng An,"Nhà mặt phố, mặt tiền",Đã có sổ,116.5
6425,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,60.0
54709,Nam Từ Liêm,Đại Mỗ,"Nhà mặt phố, mặt tiền",Đã có sổ,102.17
35051,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,55.94
77720,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,61.88
11933,Nam Từ Liêm,Phú Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,65.79
47036,Long Biên,Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,94.64
2709,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,78.13
65751,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,86.11
27029,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,66.67
55288,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,90.0
1545,Long Biên,Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,58.9
76416,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,104.29
76038,Long Biên,Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,51.92
22699,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,72.5
74372,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,85.71
65400,Hà Đông,Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,93.56
46045,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,85.94
61396,Tây Hồ,Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,79.86
79706,Cầu Giấy,Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,326.67
31513,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,88.75
30591,Long Biên,Thượng Thanh,"Nhà mặt phố, mặt tiền",Đã có sổ,114.89
4019,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,88.89
2040,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,96.0
5012,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,104.17
49609,Long Biên,Việt Hưng,"Nhà ngõ, hẻm",Đã có sổ,8.33
33579,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,130.0
69519,Long Biên,Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,63.0
16641,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,95.0
76953,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,60.61
50354,Thanh Xuân,Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,154.55
76867,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,78.13
49221,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,139.0
53093,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,80.0
58044,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,96.97
17237,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,94.29
10113,Bắc Từ Liêm,Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,96.67
63719,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,143.9
54925,Long Biên,Việt Hưng,"Nhà ngõ, hẻm",Đang chờ sổ,71.43
26751,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,193.33
75362,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,60.0
16595,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,84.0
5085,Long Biên,Long Biên,"Nhà mặt phố, mặt tiền",Đã có sổ,130.0
53872,Huyện Thanh Trì,Xã Liên Ninh,"Nhà ngõ, hẻm",Đã có sổ,16.0
34447,Đống Đa,Nam Đồng,"Nhà mặt phố, mặt tiền",Đã có sổ,306.25
23643,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,88.64
16977,Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,131.25
49802,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,128.33
61251,Hoàng Mai,Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,146.67
43780,Tây Hồ,Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,166.67
14197,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,75.68
12649,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,70.0
13769,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,108.75
13401,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,97.06
72964,Hà Đông,Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,178.95
6575,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,101.56
18624,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,84.29
79668,Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,215.38
51918,Bắc Từ Liêm,Đức Thắng,"Nhà mặt phố, mặt tiền",Đã có sổ,60.0
29127,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,94.23
59330,Hai Bà Trưng,Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,100.0
19260,Cầu Giấy,Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,143.14
73039,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,91.25
71529,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,120.59
21312,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,98.96
23621,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,79.03
49899,Đống Đa,Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,90.0
57465,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,74.5
73996,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,39.39
20563,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,120.0
15124,Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,105.0
24287,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,51.39
21122,Nam Từ Liêm,Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,70.0
40230,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,131.28
4127,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,91.5
13354,Đống Đa,Trung Tự,"Nhà mặt phố, mặt tiền",Đã có sổ,87.5
64112,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,65.0
35902,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,76.0
66672,Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,62.5
61241,Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,151.61
2208,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,91.67
66121,Hà Đông,Biên Giang,"Nhà ngõ, hẻm",Đã có sổ,32.86
2631,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,77.78
10203,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,116.28
81642,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,85.71
54257,Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,130.0
5849,Hoàng Mai,Tân Mai,Nhà phố liền kề,Đã có sổ,90.91
76097,Huyện Gia Lâm,Xã Đặng Xá,"Nhà ngõ, hẻm",Đã có sổ,25.83
81713,Nam Từ Liêm,Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,106.67
20136,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,81.79
8758,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,79.17
30176,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,76.77
36061,Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà mặt phố, mặt tiền",Đã có sổ,64.88
81589,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,85.71
21761,Thanh Xuân,Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,250.0
51330,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,74.44
26271,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,183.33
40269,Hà Đông,Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,66.67
7857,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,100.0
21582,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,37.63
53923,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,100.0
5109,Hoàng Mai,Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,61.54
31272,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,88.1
19900,Hà Đông,Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,70.97
